symbol,last_price,regime,confidence,timestamp
APPS,6.73,Neutral,0.676,2025-10-24T17:04:42.425317
ATUS,2.15,Neutral,0.639,2025-10-24T17:04:42.527645
CSIQ,14.88,Neutral,0.74,2025-10-24T17:04:42.666987
FUBO,3.66,Bear,0.524,2025-10-24T17:04:42.802914
WOLF,28.98,Neutral,0.5,2025-10-24T17:04:42.871261
ARQQ,43.65,Neutral,0.957,2025-10-24T17:04:42.953495
SPIR,11.55,Neutral,0.549,2025-10-24T17:04:43.082627
SES,2.54,Neutral,0.535,2025-10-24T17:04:43.167783
SANA,5.68,Neutral,0.794,2025-10-24T17:04:43.256716
JKS,21.45,Neutral,0.621,2025-10-24T17:04:43.406558
