Symbol,Score (out of 10),Market Cap ($B),Revenue Growth (%),EPS Growth (%),Profit Margin (%),PEG Ratio,P/E Ratio,Debt/Equity (%),Current Price ($)
OPFI,4,0.905364544,20.3,,-10.441,,,146.198,10.37
CARS,3,0.664225856,-0.1,-35.3,5.7140004,,17.435484,98.362,10.81
ATUS,3,1.204417024,-4.2,,-3.0700000000000003,,,,2.57
BMBL,2,0.805931584,-7.6,,-82.41200400000001,,,62.418,5.365
ARQQ,2,0.924793792,-43.7,,2709.129,,,5.213,60.475
FUBO,2,1.352610816,-2.8000000000000003,,5.505,,20.789474,93.729,3.95
PD,2,1.507794304,6.4,,-2.871,,,206.582,16.17
TDOC,2,1.591099392,-1.6,,-8.155999999999999,,,72.784,9.005
SONO,2,1.952216448,-13.200000000000001,,-5.414,,,15.57,16.15
PUBM,2,0.376071968,5.7,,-0.58399998,,,18.769,8.225
SPIR,1,0.422642592,-31.4,,-98.420995,,,2033.735,13.6
JKS,1,1.23063488,-39.900000000000006,,-2.2560000000000002,,,134.632,23.8253
